Iteration,Residual
0,5e-07
100,1e-06
200,9.99858e-07
300,9.97532e-07
400,9.89614e-07
500,9.75073e-07
600,9.54867e-07
700,9.30526e-07
800,9.03471e-07
900,8.74824e-07
1000,8.45406e-07
1100,8.158e-07
1200,7.86406e-07
1300,7.57495e-07
1400,7.29243e-07
1500,7.01763e-07
1600,6.75121e-07
1700,6.49353e-07
1800,6.24471e-07
1900,6.00474e-07
2000,5.77353e-07
2100,5.55089e-07
2200,5.33659e-07
2300,5.13041e-07
2400,4.93208e-07
2500,4.74134e-07
2600,4.55792e-07
2700,4.38155e-07
2800,4.21199e-07
2900,4.04896e-07
3000,3.89223e-07
3100,3.74156e-07
3200,3.59672e-07
3300,3.45747e-07
3400,3.32362e-07
3500,3.19494e-07
3600,3.07125e-07
3700,2.95234e-07
3800,2.83804e-07
3900,2.72816e-07
4000,2.62253e-07
4100,2.52099e-07
4200,2.42339e-07
4300,2.32956e-07
4400,2.23937e-07
4500,2.15267e-07
4600,2.06932e-07
4700,1.9892e-07
4800,1.91219e-07
4900,1.83815e-07
5000,1.76698e-07
5100,1.69857e-07
5200,1.63281e-07
5300,1.56959e-07
5400,1.50882e-07
5500,1.4504e-07
5600,1.39424e-07
5700,1.34026e-07
5800,1.28837e-07
5900,1.23849e-07
6000,1.19054e-07
6100,1.14444e-07
6200,1.10013e-07
6300,1.05754e-07
6400,1.0166e-07
6500,9.77235e-08
6600,9.394e-08
6700,9.03029e-08
6800,8.68066e-08
6900,8.34457e-08
7000,8.02149e-08
7100,7.71092e-08
7200,7.41237e-08
7300,7.12538e-08
7400,6.84951e-08
7500,6.58431e-08
7600,6.32939e-08
7700,6.08433e-08
7800,5.84876e-08
7900,5.62231e-08
8000,5.40463e-08
8100,5.19538e-08
8200,4.99423e-08
8300,4.80087e-08
8400,4.61499e-08
8500,4.43631e-08
8600,4.26455e-08
8700,4.09944e-08
8800,3.94072e-08
8900,3.78814e-08
9000,3.64148e-08
9100,3.50049e-08
9200,3.36496e-08
9300,3.23468e-08
9400,3.10944e-08
9500,2.98905e-08
9600,2.87332e-08
9700,2.76207e-08
9800,2.65513e-08
9900,2.55233e-08
10000,2.45352e-08
10100,2.35852e-08
10200,2.26721e-08
10300,2.17943e-08
10400,2.09504e-08
10500,2.01393e-08
10600,1.93596e-08
10700,1.861e-08
10800,1.78895e-08
10900,1.71969e-08
11000,1.6531e-08
11100,1.5891e-08
11200,1.52757e-08
11300,1.46843e-08
11400,1.41158e-08
11500,1.35692e-08
11600,1.30439e-08
11700,1.25389e-08
11800,1.20534e-08
11900,1.15867e-08
12000,1.11381e-08
12100,1.07069e-08
12200,1.02923e-08
12300,9.89384e-09
12400,9.51077e-09
12500,9.14254e-09
12600,8.78857e-09
12700,8.4483e-09
12800,8.1212e-09
12900,7.80677e-09
13000,7.50452e-09
13100,7.21396e-09
13200,6.93466e-09
13300,6.66616e-09
13400,6.40807e-09
13500,6.15997e-09
13600,5.92147e-09
13700,5.69221e-09
13800,5.47182e-09
13900,5.25996e-09
14000,5.05631e-09
14100,4.86055e-09
14200,4.67236e-09
14300,4.49146e-09
14400,4.31756e-09
14500,4.1504e-09
14600,3.9897e-09
14700,3.83523e-09
14800,3.68674e-09
14900,3.544e-09
15000,3.40679e-09
15100,3.27489e-09
15200,3.14809e-09
15300,3.02621e-09
15400,2.90904e-09
15500,2.79641e-09
15600,2.68814e-09
15700,2.58406e-09
15800,2.48402e-09
15900,2.38784e-09
16000,2.29539e-09
16100,2.20652e-09
16200,2.12109e-09
16300,2.03897e-09
16400,1.96002e-09
16500,1.88414e-09
16600,1.81119e-09
16700,1.74106e-09
16800,1.67365e-09
16900,1.60885e-09
17000,1.54656e-09
17100,1.48669e-09
17200,1.42912e-09
17300,1.37379e-09
17400,1.3206e-09
17500,1.26947e-09
17600,1.22032e-09
17700,1.17307e-09
17800,1.12766e-09
17900,1.084e-09
18000,1.04203e-09
18100,1.00168e-09
